id;version;abroad;countries_json;home;inside_eu;name;outside_eu;administration_id;created_on;updated_on
1;0;0;{"countries": [{"id": 150, "iso": "NL", "iso3": "NLD", "enName": "Netherlands", "nlName": "Nederland", "numCode": "528", "version": 0, "taxRates": [{"id": 1, "rate": 0, "level": 1, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-06-04T12:02:55+02:00", "toTaxRateLinks": [], "administrationId": 1, "fromTaxRateLinks": [{"id": 5, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "createdOn": "2020-09-18T23:12:05+02:00", "toTaxRate": {"id": 5, "rate": 0, "level": 1, "country": {"id": 21, "iso": "BE", "iso3": "BEL", "enName": "Belgium", "nlName": "België", "numCode": "56", "version": 0, "taxRules": [], "phoneCode": "32", "administrations": []}, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-09-18T22:54:27+02:00", "administrationId": 1}, "updatedOn": "2020-09-18T23:12:05+02:00", "validFrom": "2020-09-18T23:11:52+02:00", "fromTaxRate": {"id": 1, "rate": 0, "level": 1, "country": {"id": 150, "iso": "NL", "iso3": "NLD", "enName": "Netherlands", "nlName": "Nederland", "numCode": "528", "version": 0, "taxRules": [], "phoneCode": "31", "administrations": [{"id": 1, "uid": "ce03cca6-2566-4c0a-ad85-e8c4f024a7f2", "name": "Admin One", "tags": [], "trial": false, "locked": false, "langKey": "en", "useShop": true, "version": 0, "validFrom": "2020-01-01T01:00:00+01:00", "accessCode": "KAJSU34", "categories": [], "useAutomation": true, "relationsLimit": 65535, "externalSystems": [], "administrationId": 1, "administrationSettings": []}]}, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-06-04T12:02:55+02:00", "administrationId": 1}}, {"id": 6, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "createdOn": "2020-09-18T23:12:05+02:00", "toTaxRate": {"id": 9, "rate": 0, "level": 1, "country": {"id": 80, "iso": "DE", "iso3": "DEU", "enName": "Germany", "nlName": "Duitsland", "numCode": "276", "version": 0, "taxRules": [], "phoneCode": "49", "administrations": []}, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-09-18T22:57:59+02:00", "administrationId": 1}, "updatedOn": "2020-09-18T23:12:05+02:00", "validFrom": "2020-09-18T23:11:52+02:00", "fromTaxRate": {"id": 1, "rate": 0, "level": 1, "country": {"id": 150, "iso": "NL", "iso3": "NLD", "enName": "Netherlands", "nlName": "Nederland", "numCode": "528", "version": 0, "taxRules": [], "phoneCode": "31", "administrations": [{"id": 1, "uid": "ce03cca6-2566-4c0a-ad85-e8c4f024a7f2", "name": "Admin One", "tags": [], "trial": false, "locked": false, "langKey": "en", "useShop": true, "version": 0, "validFrom": "2020-01-01T01:00:00+01:00", "accessCode": "KAJSU34", "categories": [], "useAutomation": true, "relationsLimit": 65535, "externalSystems": [], "administrationId": 1, "administrationSettings": []}]}, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-06-04T12:02:55+02:00", "administrationId": 1}}]}, {"id": 2, "rate": 6, "level": 2, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-06-04T12:02:55+02:00", "toTaxRateLinks": [], "administrationId": 1, "fromTaxRateLinks": [{"id": 3, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "createdOn": "2020-09-18T23:12:05+02:00", "toTaxRate": {"id": 6, "rate": 6, "level": 2, "country": {"id": 21, "iso": "BE", "iso3": "BEL", "enName": "Belgium", "nlName": "België", "numCode": "56", "version": 0, "taxRules": [], "phoneCode": "32", "administrations": []}, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-09-18T22:54:44+02:00", "administrationId": 1}, "updatedOn": "2020-09-18T23:12:05+02:00", "validFrom": "2020-09-18T23:11:52+02:00", "fromTaxRate": {"id": 2, "rate": 6, "level": 2, "country": {"id": 150, "iso": "NL", "iso3": "NLD", "enName": "Netherlands", "nlName": "Nederland", "numCode": "528", "version": 0, "taxRules": [], "phoneCode": "31", "administrations": [{"id": 1, "uid": "ce03cca6-2566-4c0a-ad85-e8c4f024a7f2", "name": "Admin One", "tags": [], "trial": false, "locked": false, "langKey": "en", "useShop": true, "version": 0, "validFrom": "2020-01-01T01:00:00+01:00", "accessCode": "KAJSU34", "categories": [], "useAutomation": true, "relationsLimit": 65535, "externalSystems": [], "administrationId": 1, "administrationSettings": []}]}, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-06-04T12:02:55+02:00", "administrationId": 1}}, {"id": 4, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "createdOn": "2020-09-18T23:12:05+02:00", "toTaxRate": {"id": 10, "rate": 7, "level": 2, "country": {"id": 80, "iso": "DE", "iso3": "DEU", "enName": "Germany", "nlName": "Duitsland", "numCode": "276", "version": 0, "taxRules": [], "phoneCode": "49", "administrations": []}, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-09-18T22:58:21+02:00", "administrationId": 1}, "updatedOn": "2020-09-18T23:12:05+02:00", "validFrom": "2020-09-18T23:11:52+02:00", "fromTaxRate": {"id": 2, "rate": 6, "level": 2, "country": {"id": 150, "iso": "NL", "iso3": "NLD", "enName": "Netherlands", "nlName": "Nederland", "numCode": "528", "version": 0, "taxRules": [], "phoneCode": "31", "administrations": [{"id": 1, "uid": "ce03cca6-2566-4c0a-ad85-e8c4f024a7f2", "name": "Admin One", "tags": [], "trial": false, "locked": false, "langKey": "en", "useShop": true, "version": 0, "validFrom": "2020-01-01T01:00:00+01:00", "accessCode": "KAJSU34", "categories": [], "useAutomation": true, "relationsLimit": 65535, "externalSystems": [], "administrationId": 1, "administrationSettings": []}]}, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-06-04T12:02:55+02:00", "administrationId": 1}}]}, {"id": 3, "rate": 9, "level": 3, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-06-04T12:02:55+02:00", "toTaxRateLinks": [], "administrationId": 1, "fromTaxRateLinks": []}, {"id": 4, "rate": 21, "level": 5, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-06-04T12:02:55+02:00", "toTaxRateLinks": [], "administrationId": 1, "fromTaxRateLinks": [{"id": 1, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "createdOn": "2020-09-18T23:12:05+02:00", "toTaxRate": {"id": 8, "rate": 21, "level": 5, "country": {"id": 21, "iso": "BE", "iso3": "BEL", "enName": "Belgium", "nlName": "België", "numCode": "56", "version": 0, "taxRules": [], "phoneCode": "32", "administrations": []}, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-09-18T22:56:15+02:00", "administrationId": 1}, "updatedOn": "2020-09-18T23:12:05+02:00", "validFrom": "2020-09-18T23:11:52+02:00", "fromTaxRate": {"id": 4, "rate": 21, "level": 5, "country": {"id": 150, "iso": "NL", "iso3": "NLD", "enName": "Netherlands", "nlName": "Nederland", "numCode": "528", "version": 0, "taxRules": [], "phoneCode": "31", "administrations": [{"id": 1, "uid": "ce03cca6-2566-4c0a-ad85-e8c4f024a7f2", "name": "Admin One", "tags": [], "trial": false, "locked": false, "langKey": "en", "useShop": true, "version": 0, "validFrom": "2020-01-01T01:00:00+01:00", "accessCode": "KAJSU34", "categories": [], "useAutomation": true, "relationsLimit": 65535, "externalSystems": [], "administrationId": 1, "administrationSettings": []}]}, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-06-04T12:02:55+02:00", "administrationId": 1}}, {"id": 2, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "createdOn": "2020-09-18T23:12:05+02:00", "toTaxRate": {"id": 11, "rate": 19, "level": 5, "country": {"id": 80, "iso": "DE", "iso3": "DEU", "enName": "Germany", "nlName": "Duitsland", "numCode": "276", "version": 0, "taxRules": [], "phoneCode": "49", "administrations": []}, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-09-18T22:58:44+02:00", "administrationId": 1}, "updatedOn": "2020-09-18T23:12:05+02:00", "validFrom": "2020-09-18T23:11:52+02:00", "fromTaxRate": {"id": 4, "rate": 21, "level": 5, "country": {"id": 150, "iso": "NL", "iso3": "NLD", "enName": "Netherlands", "nlName": "Nederland", "numCode": "528", "version": 0, "taxRules": [], "phoneCode": "31", "administrations": [{"id": 1, "uid": "ce03cca6-2566-4c0a-ad85-e8c4f024a7f2", "name": "Admin One", "tags": [], "trial": false, "locked": false, "langKey": "en", "useShop": true, "version": 0, "validFrom": "2020-01-01T01:00:00+01:00", "accessCode": "KAJSU34", "categories": [], "useAutomation": true, "relationsLimit": 65535, "externalSystems": [], "administrationId": 1, "administrationSettings": []}]}, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-06-04T12:02:55+02:00", "administrationId": 1}}]}], "taxRules": [], "phoneCode": "31", "administrations": [{"id": 1, "uid": "ce03cca6-2566-4c0a-ad85-e8c4f024a7f2", "name": "Admin One", "tags": [], "trial": false, "locked": false, "langKey": "en", "useShop": true, "version": 0, "validFrom": "2020-01-01T01:00:00+01:00", "accessCode": "KAJSU34", "categories": [], "useAutomation": true, "relationsLimit": 65535, "externalSystems": [], "administrationId": 1, "administrationSettings": []}]}]};1;0;Home (NLD for this admin);0;1;2020-09-21 12:43:29;2020-09-21 12:43:29
2;0;0;{"countries": [{"id": 73, "iso": "FR", "iso3": "FRA", "enName": "France", "nlName": "Frankrijk", "numCode": "250", "version": 0, "taxRates": [{"id": 12, "rate": 2.1, "level": 2, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-09-18T23:01:21+02:00", "toTaxRateLinks": [], "administrationId": 1, "fromTaxRateLinks": []}, {"id": 13, "rate": 0, "level": 1, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-09-18T23:01:39+02:00", "toTaxRateLinks": [], "administrationId": 1, "fromTaxRateLinks": []}, {"id": 14, "rate": 5.5, "level": 3, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-09-18T23:01:46+02:00", "toTaxRateLinks": [], "administrationId": 1, "fromTaxRateLinks": []}, {"id": 15, "rate": 10, "level": 4, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-09-18T23:02:01+02:00", "toTaxRateLinks": [], "administrationId": 1, "fromTaxRateLinks": []}, {"id": 16, "rate": 20, "level": 5, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-09-18T23:02:11+02:00", "toTaxRateLinks": [], "administrationId": 1, "fromTaxRateLinks": []}], "taxRules": [], "phoneCode": "33", "administrations": []}, {"id": 21, "iso": "BE", "iso3": "BEL", "enName": "Belgium", "nlName": "België", "numCode": "56", "version": 0, "taxRates": [{"id": 5, "rate": 0, "level": 1, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-09-18T22:54:27+02:00", "toTaxRateLinks": [{"id": 5, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "createdOn": "2020-09-18T23:12:05+02:00", "toTaxRate": {"id": 5, "rate": 0, "level": 1, "country": {"id": 21, "iso": "BE", "iso3": "BEL", "enName": "Belgium", "nlName": "België", "numCode": "56", "version": 0, "taxRules": [], "phoneCode": "32", "administrations": []}, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-09-18T22:54:27+02:00", "administrationId": 1}, "updatedOn": "2020-09-18T23:12:05+02:00", "validFrom": "2020-09-18T23:11:52+02:00", "fromTaxRate": {"id": 1, "rate": 0, "level": 1, "country": {"id": 150, "iso": "NL", "iso3": "NLD", "enName": "Netherlands", "nlName": "Nederland", "numCode": "528", "version": 0, "taxRules": [], "phoneCode": "31", "administrations": [{"id": 1, "uid": "ce03cca6-2566-4c0a-ad85-e8c4f024a7f2", "name": "Admin One", "tags": [], "trial": false, "locked": false, "langKey": "en", "useShop": true, "version": 0, "validFrom": "2020-01-01T01:00:00+01:00", "accessCode": "KAJSU34", "categories": [], "useAutomation": true, "relationsLimit": 65535, "externalSystems": [], "administrationId": 1, "administrationSettings": []}]}, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-06-04T12:02:55+02:00", "administrationId": 1}}], "administrationId": 1, "fromTaxRateLinks": []}, {"id": 6, "rate": 6, "level": 2, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-09-18T22:54:44+02:00", "toTaxRateLinks": [{"id": 3, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "createdOn": "2020-09-18T23:12:05+02:00", "toTaxRate": {"id": 6, "rate": 6, "level": 2, "country": {"id": 21, "iso": "BE", "iso3": "BEL", "enName": "Belgium", "nlName": "België", "numCode": "56", "version": 0, "taxRules": [], "phoneCode": "32", "administrations": []}, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-09-18T22:54:44+02:00", "administrationId": 1}, "updatedOn": "2020-09-18T23:12:05+02:00", "validFrom": "2020-09-18T23:11:52+02:00", "fromTaxRate": {"id": 2, "rate": 6, "level": 2, "country": {"id": 150, "iso": "NL", "iso3": "NLD", "enName": "Netherlands", "nlName": "Nederland", "numCode": "528", "version": 0, "taxRules": [], "phoneCode": "31", "administrations": [{"id": 1, "uid": "ce03cca6-2566-4c0a-ad85-e8c4f024a7f2", "name": "Admin One", "tags": [], "trial": false, "locked": false, "langKey": "en", "useShop": true, "version": 0, "validFrom": "2020-01-01T01:00:00+01:00", "accessCode": "KAJSU34", "categories": [], "useAutomation": true, "relationsLimit": 65535, "externalSystems": [], "administrationId": 1, "administrationSettings": []}]}, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-06-04T12:02:55+02:00", "administrationId": 1}}], "administrationId": 1, "fromTaxRateLinks": []}, {"id": 7, "rate": 12, "level": 3, "validTo": "2120-09-18T23:11:52+02:00", "version": 1, "validFrom": "2020-09-18T22:00:00+02:00", "toTaxRateLinks": [], "administrationId": 1, "fromTaxRateLinks": []}, {"id": 8, "rate": 21, "level": 5, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-09-18T22:56:15+02:00", "toTaxRateLinks": [{"id": 1, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "createdOn": "2020-09-18T23:12:05+02:00", "toTaxRate": {"id": 8, "rate": 21, "level": 5, "country": {"id": 21, "iso": "BE", "iso3": "BEL", "enName": "Belgium", "nlName": "België", "numCode": "56", "version": 0, "taxRules": [], "phoneCode": "32", "administrations": []}, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-09-18T22:56:15+02:00", "administrationId": 1}, "updatedOn": "2020-09-18T23:12:05+02:00", "validFrom": "2020-09-18T23:11:52+02:00", "fromTaxRate": {"id": 4, "rate": 21, "level": 5, "country": {"id": 150, "iso": "NL", "iso3": "NLD", "enName": "Netherlands", "nlName": "Nederland", "numCode": "528", "version": 0, "taxRules": [], "phoneCode": "31", "administrations": [{"id": 1, "uid": "ce03cca6-2566-4c0a-ad85-e8c4f024a7f2", "name": "Admin One", "tags": [], "trial": false, "locked": false, "langKey": "en", "useShop": true, "version": 0, "validFrom": "2020-01-01T01:00:00+01:00", "accessCode": "KAJSU34", "categories": [], "useAutomation": true, "relationsLimit": 65535, "externalSystems": [], "administrationId": 1, "administrationSettings": []}]}, "validTo": "2120-09-18T23:11:52+02:00", "version": 0, "validFrom": "2020-06-04T12:02:55+02:00", "administrationId": 1}}], "administrationId": 1, "fromTaxRateLinks": []}], "taxRules": [], "phoneCode": "32", "administrations": []}]};0;1;Inside EU;0;1;2020-09-21 12:43:29;2020-09-21 12:43:29
3;0;0;{"countries": [{"id": 1, "iso": "AF", "iso3": "AFG", "enName": "Afghanistan", "nlName": "Afghanistan", "numCode": "4", "version": 0, "taxRates": [], "taxRules": [], "phoneCode": "93", "administrations": []}]};0;0;Outside EU;1;1;2020-09-21 12:43:29;2020-09-21 12:43:29
4;0;1;{"countries": [{"id": 6, "iso": "AO", "iso3": "AGO", "enName": "Angola", "nlName": "Angola", "numCode": "24", "version": 0, "taxRates": [], "taxRules": [], "phoneCode": "244", "administrations": []}]};0;0;Abroad;0;1;2020-09-21 12:43:29;2020-09-21 12:43:29
